Patient,Whole Tumor Dice,Tumor Core Dice,Active Tumor Dice,Pixel Count TC,Pixel Count AT
Brats18_TCIA02_314_1,0.9330321158517527,0.9341630415699432,0.8951561318834681,50042,31255
Brats18_2013_0_1,0.5041062356873997,0.48814442485328563,0.6680996735928668,39137,17858
Brats18_2013_12_1,0.9343919645369771,0.8165665224408968,0.8689204672663339,76709,42366
Brats18_2013_13_1,0.8276390171392536,0.8837471783295711,0.8525237566333457,4880,4467
Brats18_2013_15_1,0.6315199908088235,0.5710244851056306,0.0,4487,0
Brats18_2013_1_1,0.5980341023069208,0.003386960203217612,0.0,9329,0
Brats18_2013_22_1,0.9038936357773343,0.8141100498662176,0.8185661512096937,115940,67135
Brats18_2013_25_1,0.7698734069306509,0.0426157237325496,0.11139240506329114,9121,708
Brats18_2013_4_1,0.5422638331882341,0.1885825058353444,0.17775696558183096,36252,19840
Brats18_CBICA_ABY_1,0.499477841745883,0.4327189748990697,0.7757448300035051,6994,6473
Brats18_CBICA_ATF_1,0.7070433311670055,0.35809190921108647,0.47675465617743235,17190,6708
Brats18_CBICA_AWH_1,0.8439284933038427,0.9140757815876674,0.8263702331326231,34929,15631
Brats18_CBICA_AXQ_1,0.8752209814934993,0.8054781526056797,0.769266589057043,19027,10595
Brats18_CBICA_AYA_1,0.709872726098072,0.5739315330640017,0.7079263549139942,7174,4321
Brats18_CBICA_AYU_1,0.7595948196619857,0.6599970135881739,0.7639691714836223,10560,6688
Brats18_CBICA_BFP_1,0.781995167099804,0.5828395536744901,0.4995881383855025,7813,3691
Brats18_TCIA01_401_1,0.9360883190512724,0.890952648546331,0.9128627339646747,62318,50410
Brats18_TCIA02_226_1,0.8539177784883101,0.7005853219270599,0.7086348684210526,10095,9769
Brats18_TCIA02_300_1,0.9068775029777816,0.9591503999283901,0.8849766835548507,77990,38724
Brats18_TCIA02_322_1,0.5505056701663366,0.7695504177534149,0.760166537567777,9318,8858
Brats18_TCIA02_430_1,0.9053091157522805,0.836695835358937,0.8283553499723314,56625,39514
Brats18_TCIA02_455_1,0.8985160212987177,0.6768295593781328,0.8000215204174961,28526,22125
Brats18_TCIA02_605_1,0.5956296337588495,0.34157140920797,0.33392012931654874,19273,15114
Brats18_TCIA02_608_1,0.9537653095852657,0.9153032393718379,0.8726816343606192,46231,28207
Brats18_TCIA03_338_1,0.6160556651781078,0.9019248395967002,0.91633785097501,11879,8813
Brats18_TCIA03_474_1,0.9130898503934738,0.9324312481376965,0.8063342810400419,120221,111250
Brats18_TCIA04_192_1,0.9428302844979416,0.9017882046673071,0.9627074653370672,15664,15090
Brats18_TCIA04_361_1,0.9521047830053434,0.9210329176398008,0.8797520715420677,45006,40450
Brats18_TCIA04_479_1,0.889433317768069,0.945248311428146,0.9332298638729912,35839,29516
Brats18_TCIA05_478_1,0.9557013433302093,0.9412522849609556,0.8702489309838232,117104,65092
Brats18_TCIA06_332_1,0.9251159494975522,0.8268123285301169,0.7674541421680808,20508,14523
Brats18_TCIA08_167_1,0.9484213467449009,0.9361105511060609,0.9022467816371144,106214,79560
Brats18_TCIA08_278_1,0.7781209700248483,0.7214716355362446,0.8076804237475171,49349,26417
Brats18_TCIA09_620_1,0.41545459410285224,0.2877136320818194,0.7261556465769455,2904,1463
Brats18_TCIA10_152_1,0.9346865208108033,0.5399179905442649,0.8214331826985152,12609,6642
Brats18_TCIA10_266_1,0.850433852860139,0.4346985802423251,0.0,21004,0
Brats18_TCIA10_420_1,0.7838179905152564,0.4669869595058339,0.3283395755305868,25198,1324
Brats18_TCIA10_644_1,0.8822463038311243,0.6712906275670733,0.0,65330,0
Brats18_TCIA12_101_1,0.7607329142704293,0.6647003054882545,0.7272640245069883,10330,8358
Brats18_TCIA13_630_1,0.8828556730115004,0.6521485122585065,0.0,32724,0
